"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_gnd_into_dp","b_hit_by_pitch","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_reached_on_error"
"Duran, Jarren","680776","2024","27","671","735","191","108","48","14","21","160","54","6","6","67","172","53","32","10"
"Hoerner, Nico","663538","2024","27","582","641","159","116","35","1","7","66","44","8","12","86","169","67","35","6"
"Guerrero Jr., Vladimir","665489","2024","25","616","697","199","124","44","1","30","96","72","16","5","71","185","45","22","2"
"Ramírez, José","608070","2024","31","620","682","173","93","39","2","39","82","54","9","1","124","138","43","64","3"
"Gelof, Zack","680869","2024","24","497","547","105","66","20","2","17","188","38","7","4","65","102","24","20","2"
"Cowser, Colton","681297","2024","24","499","561","121","70","24","3","24","172","52","9","7","70","109","17","11","0"
"Ramos, Heliot","671218","2024","24","475","518","128","80","23","3","22","135","37","12","2","60","105","31","18","7"
"Ortiz, Joey","687401","2024","25","440","511","105","63","25","6","11","103","56","10","6","56","123","26","32","1"
"Sánchez, Jesús","660821","2024","26","489","537","123","79","25","1","18","140","41","12","4","55","133","28","12","3"
"Walker, Christian","572233","2024","33","479","552","120","68","26","0","26","133","55","12","10","80","94","32","26","0"
"Suzuki, Seiya","673548","2024","29","512","585","145","91","27","6","21","160","63","6","6","94","72","24","19","0"
"Soler, Jorge","624585","2024","32","493","574","119","63","34","1","21","141","68","9","6","77","107","18","34","3"
"Lowe, Nathaniel","663993","2024","28","486","565","129","96","16","1","16","125","71","9","4","61","128","33","13","2"
"France, Ty","664034","2024","29","479","535","112","75","24","0","13","114","38","16","13","80","129","25","23","4"
"Turner, Justin","457759","2024","39","460","539","119","84","24","0","11","95","59","16","13","90","94","42","24","1"
"Raleigh, Cal","663728","2024","27","546","628","120","70","16","0","34","176","70","7","6","96","84","34","41","1"
"Young, Jacob","696285","2024","24","468","521","120","92","24","1","3","102","30","11","12","48","155","37","17","4"
"Smith, Will","669257","2024","29","476","544","118","72","24","2","20","105","51","8","9","115","94","34","17","2"
"Seager, Corey","608369","2024","30","475","533","132","81","21","0","30","96","53","8","3","86","110","41","12","0"
"Benintendi, Andrew","643217","2024","29","477","522","109","69","20","0","20","96","41","12","1","93","122","35","25","1"
"Devers, Rafael","646240","2024","27","525","601","143","76","34","5","28","147","67","13","3","60","125","28","26","2"
"McMahon, Ryan","641857","2024","29","567","645","137","89","28","0","20","185","69","9","3","64","139","35","8","0"
"Langford, Wyatt","694671","2024","22","499","557","126","81","25","4","16","115","51","6","4","86","110","30","35","3"
"Judge, Aaron","592450","2024","32","559","704","180","85","36","1","58","171","133","22","9","83","82","28","16","5"
"Swanson, Dansby","621020","2024","30","534","593","129","84","27","2","16","144","54","7","2","66","151","26","21","3"
"Rafaela, Ceddanne","678882","2024","23","544","571","134","91","23","5","15","151","15","8","7","74","129","25","33","10"
"Vierling, Matt","663837","2024","27","518","567","133","84","28","5","16","121","41","9","3","75","123","39","30","3"
"Happ, Ian","664023","2024","29","569","657","138","77","34","2","25","168","80","7","6","88","114","33","30","2"
"De La Cruz, Elly","682829","2024","22","618","696","160","89","36","10","25","218","69","12","6","69","133","28","13","7"
"Smith, Josh","669701","2024","26","523","592","135","91","30","1","13","121","46","6","18","99","116","32","24","3"
"Keith, Colt","690993","2024","22","516","556","134","102","15","4","13","110","36","4","2","78","130","45","20","4"
"Chourio, Jackson","694192","2024","20","528","573","145","91","29","4","21","121","39","7","3","75","141","35","14","4"
"Chisholm Jr., Jazz","665862","2024","26","562","621","144","95","21","4","24","152","53","6","4","65","143","35","24","5"
"Castro, Willi","650489","2024","27","558","635","138","90","31","5","12","150","51","8","21","84","119","48","23","8"
"Harper, Bryce","547180","2024","31","550","631","157","85","42","0","30","138","76","18","2","87","114","38","17","3"
"Nimmo, Brandon","607043","2024","31","571","663","128","77","25","3","23","158","77","7","12","86","138","41","21","5"
"Gurriel Jr., Lourdes","666971","2024","30","513","553","143","101","22","2","18","101","29","16","6","84","117","37","35","1"
"Abrams, CJ","682928","2024","23","541","602","133","78","29","6","20","128","40","4","16","84","124","41","36","1"
"Chapman, Matt","656305","2024","31","575","647","142","74","39","2","27","158","64","13","6","91","118","25","42","6"
"Bell, Josh","605137","2024","31","538","603","134","90","23","2","19","120","51","22","6","71","163","28","24","4"
"Stott, Bryson","681082","2024","26","506","571","124","92","19","2","11","93","53","9","3","93","132","42","29","3"
"Ward, Taylor","621493","2024","30","585","663","144","91","26","2","25","163","63","11","7","118","100","50","16","4"
"Springer III, George","543807","2024","34","545","614","120","79","19","3","19","115","60","16","6","70","180","37","25","6"
"Bellinger, Cody","641355","2024","28","516","569","137","93","23","3","18","89","45","10","3","125","102","36","30","3"
"Olson, Matt","621566","2024","30","600","685","148","81","37","1","29","170","71","15","9","93","126","32","34","3"
"Pasquantino, Vinnie","686469","2024","26","496","554","130","79","30","2","19","71","40","12","4","98","134","35","37","2"
"Ozuna, Marcell","542303","2024","33","606","688","183","113","31","0","39","170","74","23","3","87","121","34","13","1"
"Freeman, Freddie","518692","2024","34","542","638","153","94","35","2","22","100","78","13","10","103","139","41","12","2"
"Alvarez, Yordan","670541","2024","27","552","635","170","99","34","2","35","95","69","14","10","125","98","38","28","3"
"Soto, Juan","665742","2024","25","576","713","166","90","31","4","41","119","129","10","4","77","162","31","22","4"
"Naylor, Josh","647304","2024","27","563","633","137","79","27","0","31","105","58","17","7","81","172","38","34","3"
"Turang, Brice","668930","2024","24","559","619","142","107","24","4","7","105","50","8","2","71","184","44","19","4"
"Cronenworth, Jake","630105","2024","30","577","656","139","90","29","3","17","118","61","19","11","91","157","40","34","4"
"Perez, Salvador","521692","2024","34","590","652","160","105","28","0","27","129","44","17","11","116","117","37","35","3"
"Tovar, Ezequiel","678662","2024","22","655","695","176","101","45","4","26","200","23","16","4","121","105","32","33","4"
"Castellanos, Nick","592206","2024","32","606","659","154","97","30","4","23","139","41","14","10","104","141","52","18","5"
"Reynolds, Bryan","668804","2024","29","622","692","171","115","29","3","24","156","57","7","10","84","158","42","11","9"
"Carroll, Corbin","682998","2024","23","589","684","136","78","22","14","22","130","73","3","10","78","165","32","57","3"
"Profar, Jurickson","595777","2024","31","564","668","158","105","29","0","24","101","76","14","18","90","155","33","36","3"
"Machado, Manny","592518","2024","31","593","643","163","104","30","0","29","124","45","25","1","76","150","42","38","3"
"Ohtani, Shohei","660271","2024","29","636","731","197","98","38","7","54","162","81","7","6","88","124","43","26","3"
"Garcia, Maikel","672580","2024","24","575","626","133","94","27","5","7","103","42","7","0","80","192","57","16","3"
"Diaz, Yainer","673237","2024","25","585","619","175","127","29","3","16","107","24","22","2","65","191","32","21","7"
"Lindor, Francisco","596019","2024","30","618","689","169","96","39","1","33","127","56","7","12","116","130","40","37","4"
"Giménez, Andrés","665926","2024","25","583","633","147","115","22","1","9","97","26","11","15","78","187","49","32","5"
"Peña, Jeremy","665161","2024","26","602","650","160","115","28","2","15","111","25","15","14","92","182","39","24","5"
"Altuve, Jose","514888","2024","34","628","682","185","134","31","0","20","119","47","15","7","89","153","56","26","3"
"Donovan, Brendan","680977","2024","27","587","652","163","112","34","3","14","81","47","4","13","94","163","49","38","2"
"Witt Jr., Bobby","677951","2024","24","636","709","211","123","45","11","32","106","57","4","8","124","122","41","37","6"
"Semien, Marcus","543760","2024","33","650","718","154","102","27","2","23","105","64","9","3","132","161","57","42","5"
"Hoskins, Rhys","656555","2024","31","449","517","96","56","14","0","26","149","53","11","7","77","80","19","32","1"
"McCutchen, Andrew","457705","2024","37","448","515","104","65","18","1","20","133","58","9","7","66","97","24","26","6"
"Varsho, Daulton","662139","2024","27","459","513","98","52","21","7","18","137","48","2","4","73","74","20","59","1"
"O'Hoppe, Logan","681351","2024","24","479","522","117","79","17","1","20","155","33","7","8","66","94","29","20","4"
"Winker, Jesse","608385","2024","30","430","508","109","72","23","0","14","106","63","12","10","54","114","22","30","2"
"Busch, Michael","683737","2024","26","496","567","123","72","28","2","21","162","63","9","4","79","102","11","20","2"
"Thomas, Lane","657041","2024","28","472","528","112","68","26","3","15","137","44","5","7","67","98","23","35","4"
"Stephenson, Tyler","663886","2024","27","457","515","118","72","26","1","19","117","48","9","8","64","124","23","13","3"
"Langeliers, Shea","669127","2024","26","482","534","108","59","18","2","29","145","41","15","5","67","106","26","34","4"
"Meyers, Jake","676694","2024","28","461","513","101","65","20","3","13","117","35","17","10","70","125","29","23","1"
"Arraez, Luis","650333","2024","27","637","672","200","161","32","3","4","29","24","18","8","129","199","51","30","2"
"Greene, Riley","682985","2024","23","512","584","134","77","27","6","24","156","64","2","5","64","118","28","14","2"
"Cruz, Oneil","665833","2024","25","541","599","140","82","34","3","21","181","51","8","3","48","125","28","21","2"
"Mountcastle, Ryan","663624","2024","27","473","507","128","83","30","2","13","114","27","13","1","63","120","36","17","4"
"Rodgers, Brendan","663898","2024","27","501","539","134","91","29","1","13","132","31","12","4","43","156","27","11","3"
"Rooker Jr., Brent","667670","2024","29","546","614","160","93","26","2","39","177","59","5","5","78","82","23","30","4"
"Taveras, Leody","665750","2024","25","480","529","110","78","17","3","12","112","42","8","0","81","116","36","30","4"
"Morel, Christopher","666624","2024","25","535","611","105","70","11","3","21","159","61","15","10","67","131","30","45","4"
"Schwarber, Kyle","656941","2024","31","573","692","142","82","22","0","38","197","106","6","5","71","112","30","28","3"
"Arozarena, Randy","668227","2024","29","549","648","120","67","33","0","20","169","73","7","22","79","126","25","34","4"
"Burger, Jake","669394","2024","28","535","579","134","81","23","1","29","150","31","11","9","76","123","27","27","3"
"Betts, Mookie","605141","2024","31","450","516","130","82","24","5","19","57","61","10","1","108","81","42","34","1"
"Frelick, Sal","686217","2024","24","475","524","123","95","22","4","2","78","39","8","4","60","139","41","36","5"
"Doyle, Brenton","686668","2024","26","542","603","141","90","24","4","23","153","46","13","3","86","118","37","17","3"
"Hernández, Teoscar","606192","2024","31","589","652","160","93","32","2","33","188","53","7","8","62","127","33","18","7"
"Suárez, Eugenio","553993","2024","32","571","640","146","86","28","2","30","176","49","10","9","89","101","37","28","3"
"Neto, Zach","687263","2024","23","542","602","135","77","34","1","23","140","39","14","16","83","140","21","27","1"
"Marte, Ketel","606466","2024","30","504","583","147","86","23","2","36","106","65","9","5","66","146","27","19","4"
"Turner, Trea","607208","2024","31","505","539","149","103","25","0","21","98","27","10","6","77","127","34","21","5"
"García, Adolis","666969","2024","31","580","637","130","78","27","0","25","177","45","12","6","93","119","34","32","5"
"Rodríguez, Julio","677594","2024","23","567","613","155","118","17","0","20","156","38","10","6","75","129","30","24","7"
"García, Luis","671277","2024","24","500","528","141","97","25","1","18","86","27","12","0","78","150","35","11","3"
"India, Jonathan","663697","2024","27","533","637","132","87","28","2","15","125","80","16","15","69","141","39","31","3"
"De La Cruz, Bryan","650559","2024","27","584","622","136","90","25","0","21","170","29","10","3","99","137","29","18","6"
"Santana, Carlos","467793","2024","38","521","594","124","75","26","0","23","99","65","11","6","94","124","35","47","2"
"Schanuel, Nolan","694384","2024","22","519","607","130","98","19","0","13","103","68","14","9","72","157","50","15","2"
"Goldschmidt, Paul","502671","2024","36","599","654","147","91","33","1","22","173","47","20","2","74","140","42","24","10"
"Arcia, Orlando","606115","2024","29","551","602","120","79","24","0","17","128","41","16","2","71","163","36","37","5"
"Kwan, Steven","680757","2024","26","480","540","140","107","16","3","14","51","53","5","5","102","117","43","27","2"
"Steer, Spencer","668715","2024","26","574","656","129","71","34","4","20","137","72","5","8","100","129","39","42","7"
"Alonso, Pete","624413","2024","29","608","695","146","81","31","0","34","172","70","14","13","86","140","30","37","2"
"Adames, Willy","642715","2024","28","610","688","153","88","33","0","32","173","74","12","1","106","102","36","43","3"
"Paredes, Isaac","670623","2024","25","542","641","129","84","25","1","19","105","76","17","17","95","114","40","63","3"
"Vaughn, Andrew","683734","2024","26","570","619","140","90","30","1","19","132","38","13","6","105","124","34","38","1"
"Bleday, JJ","668709","2024","26","572","642","139","72","43","4","20","125","67","8","2","110","119","41","39","4"
"Contreras, William","661388","2024","26","595","679","167","105","37","2","23","139","78","19","3","59","175","33","24","3"
"Torres, Gleyber","650402","2024","27","587","665","151","110","26","0","15","136","65","6","3","109","131","41","28","5"
"Merrill, Jackson","701538","2024","21","554","593","162","101","31","6","24","101","29","2","1","117","119","44","19","3"
"Santander, Anthony","623993","2024","29","595","665","140","69","25","2","44","129","58","9","7","113","114","38","65","1"
"Díaz, Yandy","650490","2024","32","563","621","158","112","31","1","14","95","50","12","4","68","197","23","25","5"
"Bohm, Alec","664761","2024","27","554","606","155","94","44","2","15","86","40","18","6","87","168","40","21","3"
"Rutschman, Adley","668939","2024","26","571","638","143","102","21","1","19","103","58","9","2","119","128","47","36","2"
"Henderson, Gunnar","683002","2024","23","630","719","177","102","31","7","37","159","78","2","7","73","155","46","21","2"
"Verdugo, Alex","657077","2024","28","559","621","130","88","28","1","13","93","49","14","1","88","190","42","24","4"
"Burleson, Alec","676475","2024","25","547","595","147","106","20","0","21","76","35","8","4","98","154","47","31","4"
"Winn, Masyn","691026","2024","22","587","637","157","105","32","5","15","109","41","1","1","93","140","55","38","3"
"Volpe, Anthony","683011","2024","23","637","689","155","109","27","7","12","156","42","9","4","86","179","42","22","5"
"Arenado, Nolan","571448","2024","33","578","635","157","118","23","0","16","92","44","15","5","90","141","56","46","3"
"Bregman, Alex","608324","2024","30","581","634","151","93","30","2","26","86","44","13","5","107","136","48","55","3"